              y              T            rho          X_CH4           X_O2           X_N2           X_CH           X_CO          X_CO2          X_H2O           X_H2
  5.3906250e-04  1.8356687e+03  1.7720548e-01  5.6181065e-04  3.0967177e-02  6.9272166e-01  2.1483494e-06  4.1184163e-02  4.7141209e-02  1.6073022e-01  1.4044513e-02
  5.4687500e-04  1.8409521e+03  1.7675317e-01  4.4327780e-04  2.9936125e-02  6.9292858e-01  1.8422233e-06  4.0520763e-02  4.8138679e-02  1.6124612e-01  1.3785897e-02
  5.5468750e-04  1.8458011e+03  1.7634651e-01  3.4842479e-04  2.8991985e-02  6.9313397e-01  1.5597511e-06  3.9844956e-02  4.9106146e-02  1.6169816e-01  1.3544290e-02
  5.6250000e-04  1.8502812e+03  1.7597820e-01  2.7290417e-04  2.8127663e-02  6.9333710e-01  1.3054909e-06  3.9163995e-02  5.0042808e-02  1.6209336e-01  1.3320259e-02
  5.7031250e-04  1.8544491e+03  1.7564199e-01  2.1304595e-04  2.7336382e-02  6.9353738e-01  1.0813814e-06  3.8484058e-02  5.0948119e-02  1.6243819e-01  1.3113935e-02
  5.7812500e-04  1.8583529e+03  1.7533259e-01  1.6578673e-04  2.6611735e-02  6.9373429e-01  8.8735215e-07  3.7810295e-02  5.1821768e-02  1.6273860e-01  1.2925083e-02
  5.8593750e-04  1.8620332e+03  1.7504557e-01  1.2859444e-04  2.5947724e-02  6.9392742e-01  7.2194342e-07  3.7146904e-02  5.2663663e-02  1.6300001e-01  1.2753171e-02
  5.9375000e-04  1.8655239e+03  1.7477725e-01  9.9393571e-05  2.5338781e-02  6.9411647e-01  5.8290968e-07  3.6497229e-02  5.3473899e-02  1.6322731e-01  1.2597444e-02
  6.0937500e-04  1.8720212e+03  1.7428718e-01  5.9923171e-05  2.4271585e-02  6.9448124e-01  3.7702290e-07  3.5247919e-02  5.4998787e-02  1.6359259e-01  1.2331993e-02
  6.2500000e-04  1.8780421e+03  1.7384140e-01  3.5912294e-05  2.3365272e-02  6.9482783e-01  2.3953586e-07  3.4075041e-02  5.6404872e-02  1.6387000e-01  1.2118708e-02
  6.4062500e-04  1.8836933e+03  1.7342827e-01  2.1415190e-05  2.2590742e-02  6.9515581e-01  1.4995150e-07  3.2984055e-02  5.7697572e-02  1.6408271e-01  1.1948740e-02
  6.5625000e-04  1.8890457e+03  1.7304006e-01  1.2705567e-05  2.1924146e-02  6.9546533e-01  9.2670970e-08  3.1975766e-02  5.8883274e-02  1.6424889e-01  1.1813714e-02
  6.7187500e-04  1.8941474e+03  1.7267164e-01  7.4791818e-06  2.1346074e-02  6.9575695e-01  5.6481093e-08  3.1048069e-02  5.9968880e-02  1.6438264e-01  1.1706169e-02
  6.8750000e-04  1.8990316e+03  1.7231949e-01  4.3211523e-06  2.0840791e-02  6.9603146e-01  3.3674094e-08  3.0197159e-02  6.0961464e-02  1.6449478e-01  1.1619722e-02
  7.1875000e-04  1.9082215e+03  1.7165617e-01  1.5932799e-06  2.0011291e-02  6.9653157e-01  1.2994130e-08  2.8713447e-02  6.2686358e-02  1.6467871e-01  1.1494364e-02
  7.5000000e-04  1.9167811e+03  1.7103617e-01  5.8677870e-07  1.9343851e-02  6.9697639e-01  4.9702777e-09  2.7467467e-02  6.4133215e-02  1.6484953e-01  1.1401971e-02
  7.8125000e-04  1.9247917e+03  1.7045308e-01  2.1449422e-07  1.8791891e-02  6.9737376e-01  1.8745869e-09  2.6420481e-02  6.5348305e-02  1.6502726e-01  1.1324585e-02
  8.1250000e-04  1.9323145e+03  1.6990266e-01  7.2411569e-08  1.8323972e-02  6.9773081e-01  6.5087826e-10  2.5538376e-02  6.6371398e-02  1.6522078e-01  1.1251882e-02
  8.7500000e-04  1.9460490e+03  1.6888924e-01  1.2804756e-08  1.7576396e-02  6.9834198e-01  1.1932739e-10  2.4184055e-02  6.7939335e-02  1.6566262e-01  1.1103942e-02
  9.3750000e-04  1.9584167e+03  1.6797275e-01  2.2935662e-09  1.6972846e-02  6.9885774e-01  2.2049709e-11  2.3177367e-02  6.9104960e-02  1.6615928e-01  1.0940855e-02
  1.0000000e-03  1.9696341e+03  1.6714064e-01  3.5234692e-10  1.6464040e-02  6.9930399e-01  3.4776528e-12  2.2405852e-02  6.9997659e-02  1.6668703e-01  1.0764675e-02
  1.1250000e-03  1.9891157e+03  1.6569707e-01  2.5994003e-11  1.5645452e-02  7.0004132e-01  2.6325345e-13  2.1339810e-02  7.1227848e-02  1.6777036e-01  1.0389446e-02
  1.2500000e-03  2.0058660e+03  1.6446868e-01  2.0105095e-12  1.4967819e-02  7.0065802e-01  2.0874209e-14  2.0561884e-02  7.2125213e-02  1.6880888e-01  1.0014957e-02
  1.3750000e-03  2.0204697e+03  1.6341103e-01  1.6308017e-13  1.4383893e-02  7.0119291e-01  1.7828656e-15  1.9936762e-02  7.2844851e-02  1.6977063e-01  9.6570537e-03
  1.5000000e-03  2.0333398e+03  1.6249109e-01  1.4022079e-14  1.3868225e-02  7.0166763e-01  2.1132841e-16  1.9399493e-02  7.3461555e-02  1.7064797e-01  9.3220471e-03
  1.6250000e-03  2.0447791e+03  1.6168389e-01  1.4203867e-15  1.3405792e-02  7.0209517e-01  7.0695980e-17  1.8918245e-02  7.4012228e-02  1.7144380e-01  9.0114399e-03
  1.7500000e-03  2.0550159e+03  1.6097037e-01  2.8661979e-16  1.2986974e-02  7.0248397e-01  5.2658321e-17  1.8476895e-02  7.4515740e-02  1.7216487e-01  8.7245369e-03
  1.8750000e-03  2.0642248e+03  1.6033591e-01  1.6310205e-16  1.2605215e-02  7.0283996e-01  4.6406019e-17  1.8066898e-02  7.4982210e-02  1.7281877e-01  8.4597521e-03
  2.0000000e-03  2.0725383e+03  1.5976938e-01  1.3551042e-16  1.2255953e-02  7.0316755e-01  4.1983526e-17  1.7683533e-02  7.5417290e-02  1.7341258e-01  8.2152560e-03
