eta,f,u,T
7.47495,6.351,1,1
7.49499,6.37104,1,1
7.51503,6.39108,1,1
7.53507,6.41112,1,1
7.55511,6.43116,1,1
7.57515,6.4512,1,1
7.59519,6.47124,1,1
7.61523,6.49128,1,1
7.63527,6.51132,1,1
7.65531,6.53136,1,1
7.67535,6.5514,1,1
7.69539,6.57144,1,1
7.71543,6.59148,1,1
7.73547,6.61152,1,1
7.75551,6.63156,1,1
7.77555,6.6516,1,1
7.79559,6.67164,1,1
7.81563,6.69168,1,1
7.83567,6.71172,1,1
7.85571,6.73176,1,1
7.87575,6.7518,1,1
7.89579,6.77184,1,1
7.91583,6.79188,1,1
7.93587,6.81192,1,1
7.95591,6.83196,1,1
7.97595,6.852,1,1
7.99599,6.87204,1,1
8.01603,6.89208,1,1
8.03607,6.91212,1,1
8.05611,6.93216,1,1
8.07615,6.9522,1,1
8.09619,6.97224,1,1
8.11623,6.99228,1,1
8.13627,7.01232,1,1
8.15631,7.03236,1,1
8.17635,7.0524,1,1
8.19639,7.07244,1,1
8.21643,7.09248,1,1
8.23647,7.11252,1,1
8.25651,7.13256,1,1
8.27655,7.1526,1,1
8.29659,7.17264,1,1
8.31663,7.19268,1,1
8.33667,7.21272,1,1
8.35671,7.23276,1,1
8.37675,7.2528,1,1
8.39679,7.27284,1,1
8.41683,7.29288,1,1
8.43687,7.31292,1,1
8.45691,7.33296,1,1
8.47695,7.353,1,1
8.49699,7.37304,1,1
8.51703,7.39309,1,1
8.53707,7.41313,1,1
8.55711,7.43317,1,1
8.57715,7.45321,1,1
8.59719,7.47325,1,1
8.61723,7.49329,1,1
8.63727,7.51333,1,1
8.65731,7.53337,1,1
8.67735,7.55341,1,1
8.69739,7.57345,1,1
8.71743,7.59349,1,1
8.73747,7.61353,1,1
8.75752,7.63357,1,1
8.77756,7.65361,1,1
8.7976,7.67365,1,1
8.81764,7.69369,1,1
8.83768,7.71373,1,1
8.85772,7.73377,1,1
8.87776,7.75381,1,1
8.8978,7.77385,1,1
8.91784,7.79389,1,1
8.93788,7.81393,1,1
8.95792,7.83397,1,1
8.97796,7.85401,1,1
8.998,7.87405,1,1
9.01804,7.89409,1,1
9.03808,7.91413,1,1
9.05812,7.93417,1,1
9.07816,7.95421,1,1
9.0982,7.97425,1,1
9.11824,7.99429,1,1
9.13828,8.01433,1,1
9.15832,8.03437,1,1
9.17836,8.05441,1,1
9.1984,8.07445,1,1
9.21844,8.09449,1,1
9.23848,8.11453,1,1
9.25852,8.13457,1,1
9.27856,8.15461,1,1
9.2986,8.17465,1,1
9.31864,8.19469,1,1
9.33868,8.21473,1,1
9.35872,8.23477,1,1
9.37876,8.25481,1,1
9.3988,8.27485,1,1
9.41884,8.29489,1,1
9.43888,8.31493,1,1
9.45892,8.33497,1,1
9.47896,8.35501,1,1
9.499,8.37505,1,1
9.51904,8.39509,1,1
9.53908,8.41513,1,1
9.55912,8.43517,1,1
9.57916,8.45521,1,1
9.5992,8.47525,1,1
9.61924,8.49529,1,1
9.63928,8.51533,1,1
9.65932,8.53537,1,1
9.67936,8.55541,1,1
9.6994,8.57545,1,1
9.71944,8.59549,1,1
9.73948,8.61553,1,1
9.75952,8.63557,1,1
9.77956,8.65561,1,1
9.7996,8.67565,1,1
9.81964,8.69569,1,1
9.83968,8.71573,1,1
9.85972,8.73577,1,1
9.87976,8.75581,1,1
9.8998,8.77585,1,1
9.91984,8.79589,1,1
9.93988,8.81593,1,1
9.95992,8.83597,1,1
9.97996,8.85601,1,1
10,8.87605,1,1
