eta,f,u,T,X_N2,X_O2,X_NO,X_N,X_O,mu,rho,SoS,Rex
5.32663,4.44087,2905.07,450.244,0.789923,0.210077,8.46913e-13,5.28421e-14,1.14685e-08,2.50486e-05,0.78089,484.308,96203.8
5.37688,4.49112,2905.07,450.206,0.789923,0.210077,7.04778e-13,4.62537e-14,1.0177e-08,2.50471e-05,0.780956,484.288,96203.8
5.42714,4.54137,2905.07,450.174,0.789923,0.210077,5.85405e-13,4.04344e-14,9.02061e-09,2.50459e-05,0.781012,484.271,96203.8
5.47739,4.59162,2905.07,450.146,0.789923,0.210077,4.85344e-13,3.53017e-14,7.98637e-09,2.50448e-05,0.78106,484.256,96203.8
5.52764,4.64187,2905.07,450.123,0.789923,0.210077,4.01634e-13,3.07806e-14,7.06252e-09,2.50439e-05,0.781101,484.244,96203.8
5.57789,4.69212,2905.07,450.103,0.789923,0.210077,3.31742e-13,2.68037e-14,6.23832e-09,2.50431e-05,0.781135,484.233,96203.8
5.62814,4.74238,2905.07,450.086,0.789923,0.210077,2.73499e-13,2.33104e-14,5.50391e-09,2.50424e-05,0.781164,484.224,96203.8
5.67839,4.79263,2905.07,450.072,0.789923,0.210077,2.25059e-13,2.0246e-14,4.85033e-09,2.50419e-05,0.781189,484.217,96203.8
5.72864,4.84288,2905.07,450.06,0.789923,0.210077,1.84852e-13,1.75616e-14,4.26939e-09,2.50414e-05,0.78121,484.21,96203.8
5.77889,4.89313,2905.07,450.05,0.789923,0.210077,1.51543e-13,1.52133e-14,3.75366e-09,2.5041e-05,0.781227,484.205,96203.8
5.82915,4.94338,2905.07,450.041,0.789923,0.210077,1.24002e-13,1.31618e-14,3.29638e-09,2.50407e-05,0.781242,484.201,96203.8
5.8794,4.99363,2905.07,450.034,0.789923,0.210077,1.01276e-13,1.13721e-14,2.89144e-09,2.50404e-05,0.781254,484.197,96203.8
5.92965,5.04388,2905.07,450.029,0.789923,0.210077,8.25596e-14,9.81289e-15,2.53328e-09,2.50402e-05,0.781264,484.194,96203.8
5.9799,5.09413,2905.07,450.024,0.789923,0.210077,6.71752e-14,8.4564e-15,2.21689e-09,2.504e-05,0.781273,484.191,96203.8
6.03015,5.14439,2905.07,450.019,0.789923,0.210077,5.45547e-14,7.27789e-15,1.93775e-09,2.50398e-05,0.78128,484.189,96203.8
6.0804,5.19464,2905.07,450.016,0.789923,0.210077,4.42217e-14,6.25541e-15,1.69177e-09,2.50397e-05,0.781286,484.187,96203.8
6.13065,5.24489,2905.07,450.013,0.789923,0.210077,3.57782e-14,5.36952e-15,1.47529e-09,2.50396e-05,0.781291,484.186,96203.8
6.1809,5.29514,2905.07,450.011,0.789923,0.210077,2.88923e-14,4.60305e-15,1.285e-09,2.50395e-05,0.781295,484.184,96203.8
6.23116,5.34539,2905.07,450.009,0.789923,0.210077,2.32875e-14,3.94079e-15,1.11794e-09,2.50394e-05,0.781298,484.183,96203.8
6.28141,5.39564,2905.07,450.007,0.789923,0.210077,1.87346e-14,3.36938e-15,9.71456e-10,2.50394e-05,0.781301,484.182,96203.8
6.33166,5.44589,2905.07,450.006,0.789923,0.210077,1.50433e-14,2.87704e-15,8.43174e-10,2.50393e-05,0.781304,484.182,96203.8
6.38191,5.49614,2905.07,450.005,0.789923,0.210077,1.20564e-14,2.45339e-15,7.3097e-10,2.50393e-05,0.781305,484.181,96203.8
6.43216,5.5464,2905.07,450.004,0.789923,0.210077,9.64435e-15,2.08937e-15,6.32951e-10,2.50392e-05,0.781307,484.181,96203.8
6.48241,5.59665,2905.07,450.003,0.789923,0.210077,7.70023e-15,1.77702e-15,5.4743e-10,2.50392e-05,0.781308,484.18,96203.8
6.53266,5.6469,2905.07,450.003,0.789923,0.210077,6.13636e-15,1.50936e-15,4.72906e-10,2.50392e-05,0.781309,484.18,96203.8
6.58291,5.69715,2905.07,450.002,0.789923,0.210077,4.88084e-15,1.28032e-15,4.08044e-10,2.50392e-05,0.78131,484.18,96203.8
6.63317,5.7474,2905.07,450.002,0.789923,0.210077,3.87485e-15,1.0846e-15,3.51663e-10,2.50391e-05,0.781311,484.179,96203.8
6.68342,5.79765,2905.07,450.001,0.789923,0.210077,3.07037e-15,9.17588e-16,3.02713e-10,2.50391e-05,0.781311,484.179,96203.8
6.73367,5.8479,2905.07,450.001,0.789923,0.210077,2.4283e-15,7.75261e-16,2.60269e-10,2.50391e-05,0.781312,484.179,96203.8
6.78392,5.89815,2905.07,450.001,0.789923,0.210077,1.91686e-15,6.54142e-16,2.23511e-10,2.50391e-05,0.781312,484.179,96203.8
6.83417,5.94841,2905.07,450.001,0.789923,0.210077,1.51026e-15,5.51213e-16,1.91717e-10,2.50391e-05,0.781313,484.179,96203.8
6.88442,5.99866,2905.07,450.001,0.789923,0.210077,1.18766e-15,4.63864e-16,1.6425e-10,2.50391e-05,0.781313,484.179,96203.8
6.93467,6.04891,2905.07,450,0.789923,0.210077,9.32192e-16,3.89837e-16,1.40552e-10,2.50391e-05,0.781313,484.179,96203.8
6.98492,6.09916,2905.07,450,0.789923,0.210077,7.30289e-16,3.27189e-16,1.2013e-10,2.50391e-05,0.781313,484.179,96203.8
7.03518,6.14941,2905.07,450,0.789923,0.210077,5.71031e-16,2.74243e-16,1.02553e-10,2.50391e-05,0.781313,484.179,96203.8
7.08543,6.19966,2905.07,450,0.789923,0.210077,4.45657e-16,2.29558e-16,8.74437e-11,2.50391e-05,0.781313,484.179,96203.8
7.13568,6.24991,2905.07,450,0.789923,0.210077,3.4715e-16,1.91898e-16,7.44719e-11,2.50391e-05,0.781313,484.179,96203.8
7.18593,6.30016,2905.07,450,0.789923,0.210077,2.69905e-16,1.60203e-16,6.33488e-11,2.50391e-05,0.781314,484.179,96203.8
7.23618,6.35042,2905.07,450,0.789923,0.210077,2.0945e-16,1.33564e-16,5.38228e-11,2.50391e-05,0.781314,484.179,96203.8
7.28643,6.40067,2905.07,450,0.789923,0.210077,1.62229e-16,1.11206e-16,4.56747e-11,2.50391e-05,0.781314,484.179,96203.8
7.33668,6.45092,2905.07,450,0.789923,0.210077,1.25416e-16,9.24671e-17,3.87139e-11,2.50391e-05,0.781314,484.179,96203.8
7.38693,6.50117,2905.07,450,0.789923,0.210077,9.67733e-17,7.67829e-17,3.27748e-11,2.50391e-05,0.781314,484.179,96203.8
7.43719,6.55142,2905.07,450,0.789923,0.210077,7.45311e-17,6.36738e-17,2.77135e-11,2.50391e-05,0.781314,484.179,96203.8
